"student_id","class","date","attendance","created_on","updated_on"
"9","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"9","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"9","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"9","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"9","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"9","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"9","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"9","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"9","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"10","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"10","1","2023-06-20","A","2023-06-20 08:26:28",NULL
"10","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"10","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"10","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"10","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"10","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"10","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"10","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"10","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"11","1","2023-07-15","A","2023-07-15 11:17:08",NULL
"11","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"11","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"11","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"11","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"11","Orange","2023-06-23","A","2023-06-23 08:50:26",NULL
"11","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"11","Orange","2023-07-12","A","2023-07-12 08:28:05",NULL
"11","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"11","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"12","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"12","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"12","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"12","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"12","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"12","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"12","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"12","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"12","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"12","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"13","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"13","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"13","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"13","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"13","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"13","1","2023-07-10","A","2023-07-10 14:09:29",NULL
"13","1","2023-07-12","A","2023-07-12 08:29:36",NULL
"13","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"13","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"13","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"14","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"14","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"14","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"14","Orange","2023-06-21","A","2023-06-21 09:51:50",NULL
"14","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"14","Orange","2023-06-23","A","2023-06-23 08:50:26",NULL
"14","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"14","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"14","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"14","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"20","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"20","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"20","Orange","2023-06-20","A","2023-06-20 08:29:14",NULL
"20","Orange","2023-06-21","A","2023-06-21 09:51:50",NULL
"20","Orange","2023-06-22","A","2023-06-22 10:12:33",NULL
"20","Orange","2023-06-23","A","2023-06-23 08:50:26",NULL
"20","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"20","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"20","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"20","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"21","1","2023-07-15","A","2023-07-15 11:17:08",NULL
"21","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"21","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"21","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"21","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"21","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"21","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"21","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"21","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"21","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"22","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"22","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"22","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"22","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"22","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"22","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"22","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"22","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"22","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"22","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"23","Red","2023-06-19","P","2023-06-19 09:18:31",NULL
"23","Red","2023-06-20","P","2023-06-20 08:34:46",NULL
"23","Red","2023-06-21","P","2023-06-21 09:12:42",NULL
"23","Red","2023-06-22","P","2023-06-22 10:30:10",NULL
"23","Red","2023-06-23","P","2023-06-23 08:36:00",NULL
"23","Red","2023-07-10","P","2023-07-10 15:07:06",NULL
"23","Red","2023-07-12","P","2023-07-12 08:41:19",NULL
"23","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"23","Red","2023-07-14","P","2023-07-14 08:35:28",NULL
"23","Red","2023-07-15","P","2023-07-15 09:05:53",NULL
"24","Red","2023-06-19","P","2023-06-19 09:18:31",NULL
"24","Red","2023-06-20","P","2023-06-20 08:34:46",NULL
"24","Red","2023-06-21","A","2023-06-21 09:12:42",NULL
"24","Red","2023-06-22","P","2023-06-22 10:30:10",NULL
"24","Red","2023-06-23","P","2023-06-23 08:36:00",NULL
"24","Red","2023-07-10","A","2023-07-10 15:07:06",NULL
"24","Red","2023-07-12","A","2023-07-12 08:41:19",NULL
"24","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"24","Red","2023-07-14","A","2023-07-14 08:35:28",NULL
"24","Red","2023-07-15","A","2023-07-15 09:05:53",NULL
"25","Red","2023-06-19","A","2023-06-19 09:18:31",NULL
"25","Red","2023-06-20","P","2023-06-20 08:34:46",NULL
"25","Red","2023-06-21","P","2023-06-21 09:12:42",NULL
"25","Red","2023-06-22","P","2023-06-22 10:30:10",NULL
"25","Red","2023-06-23","P","2023-06-23 08:36:00",NULL
"25","Red","2023-07-10","P","2023-07-10 15:07:06",NULL
"25","Red","2023-07-12","P","2023-07-12 08:41:19",NULL
"25","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"25","Red","2023-07-14","A","2023-07-14 08:35:28",NULL
"25","Red","2023-07-15","P","2023-07-15 09:05:53",NULL
"26","Red","2023-06-19","A","2023-06-19 09:18:31",NULL
"26","Red","2023-06-20","A","2023-06-20 08:34:46",NULL
"26","Red","2023-06-21","P","2023-06-21 09:12:42",NULL
"26","Red","2023-06-22","A","2023-06-22 10:30:10",NULL
"26","Red","2023-06-23","A","2023-06-23 08:36:00",NULL
"26","Red","2023-07-10","P","2023-07-10 15:07:06",NULL
"26","Red","2023-07-12","P","2023-07-12 08:41:19",NULL
"26","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"26","Red","2023-07-14","P","2023-07-14 08:35:28",NULL
"26","Red","2023-07-15","P","2023-07-15 09:05:53",NULL
"28","Red","2023-06-19","P","2023-06-19 09:18:31",NULL
"28","Red","2023-06-20","P","2023-06-20 08:34:46",NULL
"28","Red","2023-06-21","P","2023-06-21 09:12:42",NULL
"28","Red","2023-06-22","P","2023-06-22 10:30:10",NULL
"28","Red","2023-06-23","P","2023-06-23 08:36:00",NULL
"28","Red","2023-07-10","P","2023-07-10 15:07:06",NULL
"28","Red","2023-07-12","P","2023-07-12 08:41:19",NULL
"28","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"28","Red","2023-07-14","P","2023-07-14 08:35:28",NULL
"28","Red","2023-07-15","P","2023-07-15 09:05:53",NULL
"29","Red","2023-06-19","P","2023-06-19 09:18:31",NULL
"29","Red","2023-06-20","P","2023-06-20 08:34:46",NULL
"29","Red","2023-06-21","P","2023-06-21 09:12:42",NULL
"29","Red","2023-06-22","P","2023-06-22 10:30:10",NULL
"29","Red","2023-06-23","P","2023-06-23 08:36:00",NULL
"29","Red","2023-07-10","P","2023-07-10 15:07:06",NULL
"29","Red","2023-07-12","P","2023-07-12 08:41:19",NULL
"29","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"29","Red","2023-07-14","P","2023-07-14 08:35:28",NULL
"29","Red","2023-07-15","P","2023-07-15 09:05:53",NULL
"30","Red","2023-06-19","A","2023-06-19 09:18:31",NULL
"30","Red","2023-06-20","A","2023-06-20 08:34:46",NULL
"30","Red","2023-06-21","A","2023-06-21 09:12:42",NULL
"30","Red","2023-06-22","P","2023-06-22 10:30:10",NULL
"30","Red","2023-06-23","A","2023-06-23 08:36:00",NULL
"30","Red","2023-07-10","A","2023-07-10 15:07:06",NULL
"30","Red","2023-07-12","A","2023-07-12 08:41:19",NULL
"30","Red","2023-07-13","A","2023-07-13 08:51:01",NULL
"30","Red","2023-07-14","A","2023-07-14 08:35:28",NULL
"30","Red","2023-07-15","A","2023-07-15 09:05:53",NULL
"31","Green","2023-06-14","P","2023-06-14 08:46:00",NULL
"31","Green","2023-06-19","A","2023-06-19 08:58:34",NULL
"31","Green","2023-06-20","A","2023-06-20 08:36:14",NULL
"31","Green","2023-06-21","A","2023-06-21 09:20:43",NULL
"31","Green","2023-06-22","P","2023-06-22 10:27:33",NULL
"31","Green","2023-06-23","A","2023-06-23 08:37:22",NULL
"31","Green","2023-07-10","A","2023-07-10 15:15:42",NULL
"31","Green","2023-07-12","A","2023-07-12 08:33:43",NULL
"31","Green","2023-07-13","A","2023-07-13 08:56:04",NULL
"31","Green","2023-07-14","A","2023-07-14 08:42:17",NULL
"31","Green","2023-07-15","A","2023-07-15 09:24:44",NULL
"32","Green","2023-06-14","P","2023-06-14 08:46:00",NULL
"32","Green","2023-06-19","A","2023-06-19 08:58:34",NULL
"32","Green","2023-06-20","A","2023-06-20 08:36:14",NULL
"32","Green","2023-06-21","A","2023-06-21 09:20:43",NULL
"32","Green","2023-06-22","A","2023-06-22 10:27:33",NULL
"32","Green","2023-06-23","A","2023-06-23 08:37:22",NULL
"32","Green","2023-07-10","A","2023-07-10 15:15:42",NULL
"32","Green","2023-07-12","P","2023-07-12 08:33:43",NULL
"32","Green","2023-07-13","P","2023-07-13 08:56:04",NULL
"32","Green","2023-07-14","P","2023-07-14 08:42:17",NULL
"32","Green","2023-07-15","A","2023-07-15 09:24:44",NULL
"33","Purple","2023-06-19","P","2023-06-19 09:04:59",NULL
"33","Purple","2023-06-20","P","2023-06-20 08:27:39",NULL
"33","Purple","2023-06-21","P","2023-06-21 09:22:14",NULL
"33","Purple","2023-06-22","P","2023-06-22 10:14:31",NULL
"33","Purple","2023-06-23","P","2023-06-23 08:47:59",NULL
"33","Purple","2023-07-12","P","2023-07-12 08:26:37",NULL
"33","Purple","2023-07-13","P","2023-07-13 08:44:13",NULL
"33","Purple","2023-07-14","P","2023-07-14 08:30:20",NULL
"33","Purple","2023-07-15","P","2023-07-15 11:14:28",NULL
"34","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"34","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"34","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"34","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"34","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"34","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"34","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"34","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"34","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"34","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"35","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"35","Orange","2023-06-19","A","2023-06-19 09:01:13",NULL
"35","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"35","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"35","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"35","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"35","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"35","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"35","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"35","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"36","Red","2023-06-19","P","2023-06-19 09:18:31",NULL
"36","Red","2023-06-20","P","2023-06-20 08:34:46",NULL
"36","Red","2023-06-21","P","2023-06-21 09:12:42",NULL
"36","Red","2023-06-22","A","2023-06-22 10:30:10",NULL
"36","Red","2023-06-23","P","2023-06-23 08:36:00",NULL
"36","Red","2023-07-10","A","2023-07-10 15:07:06",NULL
"36","Red","2023-07-12","A","2023-07-12 08:41:19",NULL
"36","Red","2023-07-13","P","2023-07-13 08:51:01",NULL
"36","Red","2023-07-14","P","2023-07-14 08:35:28",NULL
"36","Red","2023-07-15","P","2023-07-15 09:05:53",NULL
"37","1","2023-07-15","A","2023-07-15 11:17:08",NULL
"37","Orange","2023-06-19","A","2023-06-19 09:01:13",NULL
"37","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"37","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"37","Orange","2023-06-22","A","2023-06-22 10:12:33",NULL
"37","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"37","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"37","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"37","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"37","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"38","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"38","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"38","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"38","Orange","2023-06-21","A","2023-06-21 09:51:50",NULL
"38","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"38","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"38","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"38","Orange","2023-07-12","A","2023-07-12 08:28:05",NULL
"38","Orange","2023-07-13","A","2023-07-13 08:39:19",NULL
"38","Orange","2023-07-14","A","2023-07-14 08:32:56",NULL
"39","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"39","Orange","2023-06-19","A","2023-06-19 09:01:13",NULL
"39","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"39","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"39","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"39","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"39","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"39","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"39","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"39","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"40","1","2023-07-15","A","2023-07-15 11:17:08",NULL
"40","Orange","2023-06-19","A","2023-06-19 09:01:13",NULL
"40","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"40","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"40","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"40","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"40","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"40","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"40","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"40","Orange","2023-07-14","A","2023-07-14 08:32:56",NULL
"41","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"41","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"41","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"41","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"41","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"41","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"41","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"41","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"41","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"41","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"42","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"42","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"42","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"42","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"42","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"42","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"42","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"42","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"42","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"42","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"43","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"43","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"43","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"43","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"43","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"43","Orange","2023-06-23","A","2023-06-23 08:50:26",NULL
"43","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"43","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"43","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"43","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"44","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"44","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"44","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"44","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"44","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"44","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"44","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"44","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"44","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"44","2A","2023-07-15","P","2023-07-15 09:10:07",NULL
"45","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"45","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"45","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"45","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"45","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"45","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"45","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"45","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"45","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"45","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"46","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"46","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"46","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"46","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"46","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"46","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"46","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"46","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"46","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"46","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"47","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"47","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"47","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"47","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"47","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"47","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"47","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"47","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"47","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"47","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"48","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"48","Orange","2023-06-19","P","2023-06-19 09:01:13",NULL
"48","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"48","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"48","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"48","Orange","2023-06-23","A","2023-06-23 08:50:26",NULL
"48","Orange","2023-07-10","P","2023-07-10 14:12:54",NULL
"48","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"48","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"48","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"49","1","2023-06-19","P","2023-06-19 09:07:19",NULL
"49","1","2023-06-20","P","2023-06-20 08:26:28",NULL
"49","1","2023-06-21","P","2023-06-21 09:21:30",NULL
"49","1","2023-06-22","P","2023-06-22 10:11:22",NULL
"49","1","2023-06-23","P","2023-06-23 08:45:05",NULL
"49","1","2023-07-10","P","2023-07-10 14:09:29",NULL
"49","1","2023-07-12","P","2023-07-12 08:29:36",NULL
"49","1","2023-07-13","P","2023-07-13 08:53:09",NULL
"49","1","2023-07-14","P","2023-07-14 08:36:43",NULL
"49","2A","2023-07-15","A","2023-07-15 09:10:07",NULL
"50","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"50","Orange","2023-06-19","A","2023-06-19 09:01:13",NULL
"50","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"50","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
"50","Orange","2023-06-22","P","2023-06-22 10:12:33",NULL
"50","Orange","2023-06-23","P","2023-06-23 08:50:26",NULL
"50","Orange","2023-07-10","A","2023-07-10 14:12:54",NULL
"50","Orange","2023-07-12","P","2023-07-12 08:28:05",NULL
"50","Orange","2023-07-13","P","2023-07-13 08:39:19",NULL
"50","Orange","2023-07-14","P","2023-07-14 08:32:56",NULL
"51","1","2023-07-15","P","2023-07-15 11:17:08",NULL
"51","Orange","2023-06-19","A","2023-06-19 09:01:13",NULL
"51","Orange","2023-06-20","P","2023-06-20 08:29:14",NULL
"51","Orange","2023-06-21","P","2023-06-21 09:51:50",NULL
